Area,Unit,Sensor,xCoordinate,yCoordinate
0001,001,1,31.20810657958667,29.922533498949143
0001,001,2,31.20812109170387,29.922553016723235
0001,001,3,31.208127794503014,29.92257776218799
0001,001,4,31.208127794503014,29.92257776218799
0001,002,1,31.208143409620046,29.92262726975428
0001,002,2,31.208156777008266,29.92265332193735
0001,002,3,31.20816792988471,29.92267156970462
0001,002,4,31.208182426171163,29.92268721324622
0001,003,1,31.20818801169987,29.922706771016998
0001,003,2,31.208191373765622,29.922732853846664
0001,003,3,31.208201426279672,29.92276024798072
0001,003,4,31.208217074534293,29.922782458927696
0001,004,1,31.20822245891801,29.922808054172954
0001,004,2,31.208236953766363,29.922832813171624
0001,004,3,31.208248107232347,29.92286150793344
0001,004,4,31.208257032643466,29.92291499417729
0001,005,1,31.208098736649156,29.9228733346654
0001,005,2,31.208113194936413,29.92290326511903
0001,005,3,31.208126572733526,29.9229319425834
0001,005,4,31.20813660816946,29.922959320269005
0001,006,1,31.208144476168247,29.922981556705047
0001,006,2,31.208140101413594,29.92302202653332
0001,006,3,31.208173539929017,29.923051999432474
0001,006,4,31.208186901122584,29.92308455159247
0001,007,1,31.208183574684245,29.92309497751261
0001,007,2,31.208216952487376,29.923173109556064
0001,007,3,31.20828936894747,29.923313936810008
0001,007,4,31.208321747768636,29.92336375091975
0001,008,1,31.2083393254645,29.92307144358544
0001,008,2,31.208365747728042,29.923110431919856
0001,008,3,31.208413176169305,29.92324058779427
0001,008,4,31.208445184568284,29.923299153492145
0001,009,1,31.208458966162617,29.923355899785854
0001,009,2,31.208442410368427,29.923299162945447
0001,009,3,31.208506445810137,29.923450491269172
0001,009,4,31.20855003739714,29.923522764773693
0001,010,1,31.208521438236403,29.92364808584771
0002,001,1,31.20726254325714,29.922394037706137
0002,001,2,31.20731686398668,29.922351531383427
0002,001,3,31.207308557623534,29.92226367227483
0002,001,4,31.207248783973505,29.92227183657594
0002,002,1,31.20725556903306,29.92217917521303
0002,002,2,31.207287544934527,29.92210907571309
0002,002,3,31.207276429690825,29.922021183799412
0002,002,4,31.207270903562694,29.921970858004958
0002,003,1,31.20725980733578,29.921860365439745
0002,003,2,31.207241732448175,29.921748183613612
0002,003,3,31.20722352713204,29.921612558760447
0002,003,4,31.207210745962897,29.921518406296975
0002,004,1,31.207207873338945,29.9214934844524
0002,004,2,31.207188239905815,29.921337905652504
0002,004,3,31.20717926124156,29.921223128218823
0002,004,4,31.207140685487246,29.920944249290923
0002,005,1,31.20723019004656,29.922025946291203
0002,005,2,31.207213457471656,29.921978639194148
0002,005,3,31.207207884565282,29.921910219647653
0002,005,4,31.20720090979579,29.921862920034773
0002,006,1,31.20719115200041,29.921809141842186
0002,006,2,31.207181405384397,29.921742391200326
0002,006,3,31.20717442985032,29.92168042308838
0002,006,4,31.20717442985032,29.92168042308838
0002,007,1,31.20716599237019,29.92156409442139
0002,007,2,31.207151965992672,29.921465638155105
0003,001,1,31.209733863171866,29.920984045237006
0003,001,2,31.209751866193074,29.92101723773243
0003,001,3,31.209772332910962,29.921096844210684
